List,Name
EC venous pulmonary,IGFBP7
EC venous pulmonary,VWF
EC venous pulmonary,GPR25
EC venous pulmonary,GPX3
EC venous pulmonary,CDH19
EC venous pulmonary,FOXS1
EC venous pulmonary,PRSS23
EC venous pulmonary,CPE
EC venous systemic,SPARCL1
EC venous systemic,VIM
EC venous systemic,ACKR1
EC venous systemic,IGFBP7
EC venous systemic,RP11-501J20.5
EC venous systemic,ITGA11
EC venous systemic,SPIC
EC venous systemic,CCL11
EC venous systemic,LINC01705
EC venous systemic,SIGLEC6
Goblet (bronchial),MUC5B
Goblet (bronchial),AGR2
Goblet (bronchial),CDH19
Goblet (bronchial),SCGB1A1
Goblet (bronchial),FDCSP
Goblet (bronchial),ANKRD36C
Goblet (bronchial),LINC01705
Goblet (bronchial),BRINP3
Goblet (bronchial),DTX1
Goblet (bronchial),LRRN4
Goblet (nasal),LYPD2
Goblet (nasal),LCN2
Goblet (nasal),FTH1
Goblet (nasal),MUC5AC
Goblet (nasal),WFDC2
Goblet (nasal),VMO1
Goblet (nasal),MT-CO2
Goblet (nasal),S100A4
Goblet (nasal),S100A6
Goblet (nasal),SCGB3A1
Goblet (subsegmental),SCGB1A1
Goblet (subsegmental),FOXS1
Goblet (subsegmental),TRGV2
Goblet (subsegmental),OTC
Goblet (subsegmental),CFD
Goblet (subsegmental),TPSG1
Goblet (subsegmental),ADRA2C
Goblet (subsegmental),TYRP1
Goblet (subsegmental),TNFSF11
Goblet (subsegmental),CXCR5
Hematopoietic stem cells,PRSS57
Hematopoietic stem cells,CRHBP
Hematopoietic stem cells,DPPA4
Hematopoietic stem cells,OTC
Hematopoietic stem cells,HPD
Hematopoietic stem cells,LINC01705
Hematopoietic stem cells,BRINP3
Hematopoietic stem cells,HEMGN
Hematopoietic stem cells,AADACL2
Hematopoietic stem cells,DTX1
Hillock-like,S100A2
Hillock-like,KRT6A
Hillock-like,S100A8
Hillock-like,S100A9
Hillock-like,KRT17
Hillock-like,IFITM3
Hillock-like,RHCG
Hillock-like,CDH19
Hillock-like,PPP1R15A
Hillock-like,CCL11
Interstitial Mph perivascular,MRC1
Interstitial Mph perivascular,SRGN
Interstitial Mph perivascular,HLA-DRA
Interstitial Mph perivascular,HLA-DPA1
Interstitial Mph perivascular,HLA-DPB1
Interstitial Mph perivascular,MT2A
Interstitial Mph perivascular,SELENOP
Interstitial Mph perivascular,CCL11
Interstitial Mph perivascular,HLA-DRB1
Interstitial Mph perivascular,GPR182
Ionocyte,OTC
Ionocyte,LINC00636
Ionocyte,GPR25
Ionocyte,MSI1
Ionocyte,STMN2
Ionocyte,LAMP5
Ionocyte,CD207
Ionocyte,RSPO1
Ionocyte,RP11-322E11.5
Ionocyte,TRGV2
Lymphatic EC differentiating,CDH19
Lymphatic EC differentiating,LAMC3
Lymphatic EC differentiating,CCL11
Lymphatic EC differentiating,TYRP1
Lymphatic EC differentiating,LINC01705
Lymphatic EC differentiating,CD207
Lymphatic EC differentiating,TFF2
Lymphatic EC differentiating,TPSG1
Lymphatic EC differentiating,CD1B
Lymphatic EC differentiating,KCNN2
Lymphatic EC mature,CCL21
Lymphatic EC mature,TFF3
Lymphatic EC mature,TFPI
Lymphatic EC mature,CLDN5
Lymphatic EC mature,RAMP2
Lymphatic EC mature,TRGV2
Lymphatic EC mature,MMRN1
Lymphatic EC mature,PPFIBP1
Lymphatic EC mature,CCL11
Lymphatic EC mature,GPR25
Lymphatic EC proliferating,TYRP1
