Gene name,Function
MCAM,2_Smooth muscle marker
MYH11,2_Smooth muscle marker
UCY1A2,2_Smooth muscle marker
LGI4,2_Smooth muscle marker
KLHL23,2_Smooth muscle marker
AD-1,2_Smooth muscle marker
AN2,2_Smooth muscle marker
ARMN,2_Smooth muscle marker
IP1,2_Smooth muscle marker
HIGD1B,2_Smooth muscle marker
TINAGL1,2_Smooth muscle marker
AMD2B,2_Smooth muscle marker
NOTCH3,2_Smooth muscle marker
HMOX2,2_Smooth muscle marker
LMN,2_Smooth muscle marker
FABP4,2_Smooth muscle marker
ADAMTSL3,2_Smooth muscle marker
OX4I2,2_Smooth muscle marker
ACTA2,2_Smooth muscle marker
N,2_Smooth muscle marker
FRZB,2_Smooth muscle marker
PPP1R14A,2_Smooth muscle marker
NDUFA4L2,2_Smooth muscle marker
ATP1B2,2_Smooth muscle marker
TPM2,2_Smooth muscle marker
FILIP1L,2_Smooth muscle marker
TAGLN,2_Smooth muscle marker
PCDH18,2_Smooth muscle marker
PPP1R12B,2_Smooth muscle marker
MRPL49,2_Smooth muscle marker
SFTPD,AT1 marker
OL4A3,AT1 marker
SDC1,AT1 marker
PRC5A,AT1 marker
SLC34A2,AT1 marker
EPCAM,AT1 marker
LDN18,AT1 marker
ITGB6,AT1 marker
SCEL,AT1 marker
MUC1,AT1 marker
KRT18,AT1 marker
AGER,AT1 marker
AQP4,AT1 marker
EPS8L2,AT1 marker
SUSD2,AT1 marker
EACAM6,AT1 marker
SLC39A8,AT1 marker
LDN4,AT1 marker
NEDD4L,AT1 marker
YP4B1,AT1 marker
NAPSA,AT1 marker
DHCR24,AT1 marker
SCNN1A,AT1 marker
HOPX,AT1 marker
KRT19,AT1 marker
MSLN,AT1 marker
FXYD3,AT1 marker
LMO3,AT1 marker
IRX2,AT1 marker
TACSTD2,AT1 marker
EPS8L2,AT2 marker
MUC1,AT2 marker
LMO3,AT2 marker
ATP1B1,AT2 marker
FXYD3,AT2 marker
EPCAM,AT2 marker
PRC5A,AT2 marker
FAM53B,AT2 marker
KRT18,AT2 marker
DHCR24,AT2 marker
AQP4,AT2 marker
ITGB6,AT2 marker
EACAM6,AT2 marker
SFTPD,AT2 marker
19ORF33,AT2 marker
MSLN,AT2 marker
YP4B1,AT2 marker
LDN18,AT2 marker
SCNN1A,AT2 marker
NTM,AT2 marker
NAPSA,AT2 marker
LDN4,AT2 marker
STP1,AT2 marker
KRT19,AT2 marker
SCEL,AT2 marker
KRT7,AT2 marker
LPCAT1,AT2 marker
NKX2-1,AT2 marker
SCGB3A1,AT2 marker
SUSD2,AT2 marker
KDM4C,B cell lineage marker
IGHV3-23,B cell lineage marker
MZB1,B cell lineage marker
IGLV2-23,B cell lineage marker
IGHG2,B cell lineage marker
SEC11C,B cell lineage marker
IGHV4-39,B cell lineage marker
IGHG3,B cell lineage marker
IGHGP,B cell lineage marker
IGLC3,B cell lineage marker
IGHG1,B cell lineage marker
DOK2,B cell lineage marker
YTIP,B cell lineage marker
LIMD2,B cell lineage marker
JCHAIN,B cell lineage marker
IGLC2,B cell lineage marker
AMMECR1L,B cell lineage marker
IGKC,B cell lineage marker
S1,B cell lineage marker
MFSD11,B cell lineage marker
IGHM,B cell lineage marker
XCR4,B cell lineage marker
ZFAND2A,B cell lineage marker
HIST1H4J,B cell lineage marker
ANKRD37,B cell lineage marker
DUSP2,B cell lineage marker
L3,B cell lineage marker
AB40B,B cell lineage marker
ARHGAP4,B cell lineage marker
SMAP2,B cell lineage marker
SELP,EC arterial marker
L23,EC arterial marker
HEY1,EC arterial marker
SEMA3G,EC arterial marker
ITGA6,EC arterial marker
FLT4,EC arterial marker
NRN1,EC arterial marker
SMAD6,EC arterial marker
NPR3,EC arterial marker
PLA1A,EC arterial marker
DYSF,EC arterial marker
AQP1,EC arterial marker
EDN1,EC arterial marker
IDO1,EC arterial marker
MET,EC arterial marker
L14,EC arterial marker
MPZL2,EC arterial marker
D36,EC arterial marker
SLC6A4,EC arterial marker
1ORF115,EC arterial marker
LYVE1,EC arterial marker
PSMB8-AS1,EC arterial marker
BTNL9,EC arterial marker
FAM107A,EC arterial marker
YYR1,EC arterial marker
NF144B,EC arterial marker
PRSS23,EC arterial marker
PIHBP1,EC arterial marker
TMEM100,EC arterial marker
MCF2L,EC arterial marker
A4,EC capillary marker
BTNL9,EC capillary marker
VIPR1,EC capillary marker
PREX1,EC capillary marker
SOSTDC1,EC capillary marker
SAD2,EC capillary marker
SEMA3G,EC capillary marker
PRX,EC capillary marker
HPGD,EC capillary marker
SLCO4A1,EC capillary marker
PCDH12,EC capillary marker
PDGFB,EC capillary marker
,EC capillary marker
D34,EC capillary marker
SLC6A4,EC capillary marker
AMP2,EC capillary marker
SLC9A3R2,EC capillary marker
IL1RL1,EC capillary marker
HECW2,EC capillary marker
FLT4,EC capillary marker
EMCN,EC capillary marker
F2RL3,EC capillary marker
NOTCH4,EC capillary marker
PIHBP1,EC capillary marker
ESAM,EC capillary marker
PCDH1,EC capillary marker
ADGRG1,EC capillary marker
TMEM100,EC capillary marker
SEC14L1,EC capillary marker
ADGRF5,EC capillary marker
ACKR1,EC venous marker
LU,EC venous marker
MMRN1,EC venous marker
SELP,EC venous marker
PE-1,EC venous marker
L23,EC venous marker
SRPX,EC venous marker
MET,EC venous marker
PLA1A,EC venous marker
IL33,EC venous marker
VWF,EC venous marker
ADGRG6,EC venous marker
MPZL2,EC venous marker
PRSS23,EC venous marker
LYST,EC venous marker
L14,EC venous marker
KCTD12,EC venous marker
LRRC1,EC venous marker
MMRN2,EC venous marker
NPR3,EC venous marker
TLL1,EC venous marker
PKHD1L1,EC venous marker
PLAT,EC venous marker
HSPG2,EC venous marker
S5,EC venous marker
PTPRB,EC venous marker
PLCXD3,EC venous marker
ITGB4,EC venous marker
LIMS2,EC venous marker
PDE2A,EC venous marker
OL3A1,Fibroblasts marker
OL6A3,Fibroblasts marker
OL1A1,Fibroblasts marker
OL1A2,Fibroblasts marker
LUM,Fibroblasts marker
LSAMP,Fibroblasts marker
OL5A2,Fibroblasts marker
SCN7A,Fibroblasts marker
OL5A1,Fibroblasts marker
ARRES2,Fibroblasts marker
MXRA8,Fibroblasts marker
FN1,Fibroblasts marker
LAMA2,Fibroblasts marker
VCAN,Fibroblasts marker
MOXD1,Fibroblasts marker
MMP2,Fibroblasts marker
PXM1,Fibroblasts marker
SLIT2,Fibroblasts marker
PDGFRA,Fibroblasts marker
MFAP4,Fibroblasts marker
TMEM119,Fibroblasts marker
TDO2,Fibroblasts marker
VEGFD,Fibroblasts marker
ADH1B,Fibroblasts marker
AL078639.1,Fibroblasts marker
ISPLD2,Fibroblasts marker
PTGDS,Fibroblasts marker
FBLN1,Fibroblasts marker
A2M,Fibroblasts marker
LEC11A,Fibroblasts marker
NKG7,Innate lymphoid cell NK marker
D2,Innate lymphoid cell NK marker
LF3,Innate lymphoid cell NK marker
NLY,Innate lymphoid cell NK marker
L3,Innate lymphoid cell NK marker
L5,Innate lymphoid cell NK marker
12ORF76,Innate lymphoid cell NK marker
PTPRC,Innate lymphoid cell NK marker
IFNG,Innate lymphoid cell NK marker
D52,Innate lymphoid cell NK marker
DOK2,Innate lymphoid cell NK marker
L4,Innate lymphoid cell NK marker
TRBC1,Innate lymphoid cell NK marker
HCST,Innate lymphoid cell NK marker
DC73,Innate lymphoid cell NK marker
YTIP,Innate lymphoid cell NK marker
DC42SE2,Innate lymphoid cell NK marker
MZB1,Innate lymphoid cell NK marker
KLRB1,Innate lymphoid cell NK marker
HOG,Innate lymphoid cell NK marker
TCERG1,Innate lymphoid cell NK marker
AIP,Innate lymphoid cell NK marker
WIPF1,Innate lymphoid cell NK marker
KLRD1,Innate lymphoid cell NK marker
S1,Innate lymphoid cell NK marker
DUSP2,Innate lymphoid cell NK marker
ERN1,Innate lymphoid cell NK marker
TLE4,Innate lymphoid cell NK marker
D69,Innate lymphoid cell NK marker
SMIM27,Innate lymphoid cell NK marker
TFF3,Lymphatic EC differentiating marker
SEMA3A,Lymphatic EC differentiating marker
TBX1,Lymphatic EC differentiating marker
ANGPT2,Lymphatic EC differentiating marker
PROX1,Lymphatic EC differentiating marker
SCN3B,Lymphatic EC differentiating marker
6ORF141,Lymphatic EC differentiating marker
FABP4,Lymphatic EC differentiating marker
STAB2,Lymphatic EC differentiating marker
KLF6,Lymphatic EC differentiating marker
ELN-1,Lymphatic EC differentiating marker
L21,Lymphatic EC differentiating marker
ARL4A,Lymphatic EC differentiating marker
PM6A,Lymphatic EC differentiating marker
MAN1A1,Lymphatic EC differentiating marker
BACE2,Lymphatic EC differentiating marker
LYVE1,Lymphatic EC differentiating marker
SHC1,Lymphatic EC differentiating marker
PRC5B,Lymphatic EC differentiating marker
PPFIBP1,Lymphatic EC differentiating marker
KBTBD11,Lymphatic EC differentiating marker
MMRN1,Lymphatic EC differentiating marker
NKSR3,Lymphatic EC differentiating marker
MRC1,Lymphatic EC differentiating marker
FLT4,Lymphatic EC differentiating marker
ARL6IP1,Lymphatic EC differentiating marker
TFPI,Lymphatic EC differentiating marker
AP,Lymphatic EC differentiating marker
VAV3,Lymphatic EC differentiating marker
FABP5,Lymphatic EC differentiating marker
FABP4,Lymphatic EC mature marker
TFF3,Lymphatic EC mature marker
L21,Lymphatic EC mature marker
ELN-1,Lymphatic EC mature marker
ARL4A,Lymphatic EC mature marker
ANGPT2,Lymphatic EC mature marker
STAB2,Lymphatic EC mature marker
6ORF141,Lymphatic EC mature marker
PROX1,Lymphatic EC mature marker
TBX1,Lymphatic EC mature marker
MRC1,Lymphatic EC mature marker
SCN3B,Lymphatic EC mature marker
LYVE1,Lymphatic EC mature marker
SMAD1,Lymphatic EC mature marker
KLF6,Lymphatic EC mature marker
FLT4,Lymphatic EC mature marker
SEMA3A,Lymphatic EC mature marker
PM6A,Lymphatic EC mature marker
MMRN1,Lymphatic EC mature marker
KBTBD11,Lymphatic EC mature marker
NKSR3,Lymphatic EC mature marker
WFS1,Lymphatic EC mature marker
L14,Lymphatic EC mature marker
FAM189A2,Lymphatic EC mature marker
FABP5,Lymphatic EC mature marker
PARD6G,Lymphatic EC mature marker
BACE2,Lymphatic EC mature marker
D36,Lymphatic EC mature marker
TC2N,Lymphatic EC mature marker
PKHD1L1,Lymphatic EC mature marker
1QA,Macrophages marker
1QB,Macrophages marker
LAPTM5,Macrophages marker
TSD,Macrophages marker
PNMB,Macrophages marker
D68,Macrophages marker
LUL,Macrophages marker
STB,Macrophages marker
APOC1,Macrophages marker
XCR4,Macrophages marker
FTL,Macrophages marker
MRC1,Macrophages marker
PTPRC,Macrophages marker
LIPA,Macrophages marker
SLCO2B1,Macrophages marker
HLA-DMB,Macrophages marker
TSS,Macrophages marker
SLC1A3,Macrophages marker
YCS,Macrophages marker
D14,Macrophages marker
PTK2B,Macrophages marker
MFSD1,Macrophages marker
ACP5,Macrophages marker
HCST,Macrophages marker
S1,Macrophages marker
HMOX1,Macrophages marker
TNFAIP2,Macrophages marker
PLAU,Macrophages marker
ASSF4,Macrophages marker
IER5,Macrophages marker
TPSAB1,Mast cells marker
TPSB2,Mast cells marker
S1,Mast cells marker
YCS,Mast cells marker
PTPRC,Mast cells marker
D69,Mast cells marker
LAPTM5,Mast cells marker
S10,Mast cells marker
KRT19,Mast cells marker
A1BG,Mast cells marker
NR4A2,Mast cells marker
PHKG1,Mast cells marker
KNOP1,Mast cells marker
S2,Mast cells marker
D52,Mast cells marker
VAMP8,Mast cells marker
LIC1,Mast cells marker
HIST1H2BC,Mast cells marker
PHF20,Mast cells marker
SRGN,Mast cells marker
KS2,Mast cells marker
TNNBL1,Mast cells marker
SMIM3,Mast cells marker
PRMT9,Mast cells marker
OSGIN2,Mast cells marker
VEGFA,Mast cells marker
ATA2,Mast cells marker
EIF3K,Mast cells marker
ARMCX6,Mast cells marker
ARHGAP15,Mast cells marker
D2,T cell lineage marker
S1,T cell lineage marker
DOK2,T cell lineage marker
KLRB1,T cell lineage marker
D52,T cell lineage marker
PTPRC,T cell lineage marker
YTIP,T cell lineage marker
IFNG,T cell lineage marker
TRBC1,T cell lineage marker
HCST,T cell lineage marker
DUSP2,T cell lineage marker
XCR4,T cell lineage marker
L5,T cell lineage marker
D69,T cell lineage marker
NKG7,T cell lineage marker
T4,T cell lineage marker
STK4,T cell lineage marker
AL118516.1,T cell lineage marker
MC1,T cell lineage marker
STK17A,T cell lineage marker
PARP8,T cell lineage marker
DC42SE2,T cell lineage marker
HSPA8,T cell lineage marker
L4,T cell lineage marker
HSPA6,T cell lineage marker
ACYBP,T cell lineage marker
AC103591.3,T cell lineage marker
KLRD1,T cell lineage marker
HORDC1,T cell lineage marker
LAPTM5,T cell lineage marker
TFF3,Unknown marker
L14,Unknown marker
D36,Unknown marker
FLT4,Unknown marker
PIHBP1,Unknown marker
TM4SF18,Unknown marker
ELN-1,Unknown marker
FABP5,Unknown marker
6ORF141,Unknown marker
FABP4,Unknown marker
NPR3,Unknown marker
STAB2,Unknown marker
PKHD1L1,Unknown marker
PM6A,Unknown marker
DYSF,Unknown marker
ACKR1,Unknown marker
NTNAP3B,Unknown marker
VAV3,Unknown marker
M2L,Unknown marker
SLC38A1,Unknown marker
TBX1,Unknown marker
IMAP5,Unknown marker
L23,Unknown marker
LEC3B,Unknown marker
PARD6G,Unknown marker
D93,Unknown marker
LYVE1,Unknown marker
HHEX,Unknown marker
MRC1,Unknown marker
SCN3B,Unknown marker
