Gene name,Function
MYH11,2_Smooth muscle marker
AD-1,2_Smooth muscle marker
OX4I2,2_Smooth muscle marker
MCAM,2_Smooth muscle marker
LGI4,2_Smooth muscle marker
ARMN,2_Smooth muscle marker
LMN,2_Smooth muscle marker
TINAGL1,2_Smooth muscle marker
OL1A2,2_Smooth muscle marker
JC1,2_Smooth muscle marker
HIGD1B,2_Smooth muscle marker
IP1,2_Smooth muscle marker
SRP2,2_Smooth muscle marker
PPP1R12B,2_Smooth muscle marker
NR4A1,2_Smooth muscle marker
SLC39A8,AT1 marker
OL4A3,AT1 marker
MSLN,AT1 marker
TACSTD2,AT1 marker
EACAM6,AT1 marker
LDN4,AT1 marker
SCEL,AT1 marker
AQP4,AT1 marker
KRT7,AT1 marker
D55,AT1 marker
AGER,AT1 marker
KRT18,AT1 marker
EPCAM,AT1 marker
SDC1,AT1 marker
SLC34A2,AT1 marker
DHCR24,AT2 marker
NTM,AT2 marker
SLPI,AT2 marker
MUC1,AT2 marker
AQP4,AT2 marker
SUSD2,AT2 marker
SLC34A2,AT2 marker
SFTPC,AT2 marker
SCEL,AT2 marker
19ORF33,AT2 marker
HOPX,AT2 marker
EACAM6,AT2 marker
PEBP4,AT2 marker
EPS8L2,AT2 marker
EPCAM,AT2 marker
IGHV4-39,B cell lineage marker
IGHG2,B cell lineage marker
IGLC3,B cell lineage marker
IGLV2-23,B cell lineage marker
S2,B cell lineage marker
IGHGP,B cell lineage marker
IGHV3-23,B cell lineage marker
XBP1,B cell lineage marker
IGLC2,B cell lineage marker
MZB1,B cell lineage marker
SSR4,B cell lineage marker
IGHG1,B cell lineage marker
JCHAIN,B cell lineage marker
SEC11C,B cell lineage marker
IGHG3,B cell lineage marker
IDO1,EC arterial marker
NPR3,EC arterial marker
SEMA3G,EC arterial marker
DYSF,EC arterial marker
MCTP1,EC arterial marker
HEY1,EC arterial marker
ITGA6,EC arterial marker
MPZL2,EC arterial marker
SLC6A4,EC arterial marker
ARNTL,EC arterial marker
ITGB4,EC arterial marker
MMRN2,EC arterial marker
FAM107A,EC arterial marker
PALMD,EC arterial marker
FCN3,EC arterial marker
VIPR1,EC capillary marker
HPGD,EC capillary marker
PREX1,EC capillary marker
A4,EC capillary marker
SOSTDC1,EC capillary marker
BTNL9,EC capillary marker
PCDH12,EC capillary marker
D34,EC capillary marker
PDGFB,EC capillary marker
AMP2,EC capillary marker
ACE,EC capillary marker
SEMA3G,EC capillary marker
PRX,EC capillary marker
PIHBP1,EC capillary marker
IL1RL1,EC capillary marker
ACKR1,EC venous marker
SELP,EC venous marker
L23,EC venous marker
MMRN1,EC venous marker
LU,EC venous marker
SRPX,EC venous marker
MET,EC venous marker
VWF,EC venous marker
PRSS23,EC venous marker
ADGRG6,EC venous marker
PE-1,EC venous marker
MPZL2,EC venous marker
IL33,EC venous marker
SULT1E1,EC venous marker
LRRC1,EC venous marker
OL1A1,Fibroblasts marker
OL3A1,Fibroblasts marker
OL1A2,Fibroblasts marker
OL5A2,Fibroblasts marker
OL6A3,Fibroblasts marker
LUM,Fibroblasts marker
PDGFRA,Fibroblasts marker
MMP2,Fibroblasts marker
ISPLD2,Fibroblasts marker
SLIT2,Fibroblasts marker
SCN7A,Fibroblasts marker
STEAP2,Fibroblasts marker
ADH1B,Fibroblasts marker
ARRES2,Fibroblasts marker
PXM1,Fibroblasts marker
L3,Innate lymphoid cell NK marker
NKG7,Innate lymphoid cell NK marker
NLY,Innate lymphoid cell NK marker
KLRD1,Innate lymphoid cell NK marker
D2,Innate lymphoid cell NK marker
L4,Innate lymphoid cell NK marker
L5,Innate lymphoid cell NK marker
EFHD2,Innate lymphoid cell NK marker
HCST,Innate lymphoid cell NK marker
TRBC1,Innate lymphoid cell NK marker
IFNG,Innate lymphoid cell NK marker
S1,Innate lymphoid cell NK marker
MC1,Innate lymphoid cell NK marker
YTIP,Innate lymphoid cell NK marker
P4HA1,Innate lymphoid cell NK marker
STAB2,Lymphatic EC differentiating marker
TFF3,Lymphatic EC differentiating marker
TBX1,Lymphatic EC differentiating marker
ANGPT2,Lymphatic EC differentiating marker
ELN-1,Lymphatic EC differentiating marker
SCN3B,Lymphatic EC differentiating marker
L21,Lymphatic EC differentiating marker
6ORF141,Lymphatic EC differentiating marker
FABP4,Lymphatic EC differentiating marker
PROX1,Lymphatic EC differentiating marker
SEMA3A,Lymphatic EC differentiating marker
LYVE1,Lymphatic EC differentiating marker
MRC1,Lymphatic EC differentiating marker
PM6A,Lymphatic EC differentiating marker
MMRN1,Lymphatic EC differentiating marker
TBX1,Lymphatic EC mature marker
STAB2,Lymphatic EC mature marker
ELN-1,Lymphatic EC mature marker
6ORF141,Lymphatic EC mature marker
L21,Lymphatic EC mature marker
ANGPT2,Lymphatic EC mature marker
PROX1,Lymphatic EC mature marker
ARL4A,Lymphatic EC mature marker
TFF3,Lymphatic EC mature marker
MRC1,Lymphatic EC mature marker
LYVE1,Lymphatic EC mature marker
SCN3B,Lymphatic EC mature marker
FABP4,Lymphatic EC mature marker
PM6A,Lymphatic EC mature marker
MMRN1,Lymphatic EC mature marker
APOC1,Macrophages marker
1QB,Macrophages marker
1QA,Macrophages marker
TSD,Macrophages marker
LAPTM5,Macrophages marker
D68,Macrophages marker
FTL,Macrophages marker
MRC1,Macrophages marker
SLCO2B1,Macrophages marker
ASSF4,Macrophages marker
HMOX1,Macrophages marker
ACP5,Macrophages marker
PTPRC,Macrophages marker
STB,Macrophages marker
TSZ,Macrophages marker
TPSAB1,Mast cells marker
TPSB2,Mast cells marker
YCS,Mast cells marker
S1,Mast cells marker
PTPRC,Mast cells marker
HIST1H1C,Mast cells marker
MZT1,Mast cells marker
D69,Mast cells marker
LAPTM5,Mast cells marker
D52,Mast cells marker
SLC16A3,Mast cells marker
ATA2,Mast cells marker
PIBF1,Mast cells marker
TNNBL1,Mast cells marker
BHLHE40,Mast cells marker
KLRB1,T cell lineage marker
L5,T cell lineage marker
D2,T cell lineage marker
TRBC1,T cell lineage marker
D52,T cell lineage marker
XCR4,T cell lineage marker
DUSP2,T cell lineage marker
D69,T cell lineage marker
YTIP,T cell lineage marker
IFNG,T cell lineage marker
PTPRC,T cell lineage marker
HCST,T cell lineage marker
STK17A,T cell lineage marker
NKG7,T cell lineage marker
S1,T cell lineage marker
D36,Unknown marker
PIHBP1,Unknown marker
NPR3,Unknown marker
6ORF141,Unknown marker
TM4SF18,Unknown marker
IDO1,Unknown marker
VAV3,Unknown marker
AFAP1L1,Unknown marker
NTNAP3B,Unknown marker
ITGA6,Unknown marker
L23,Unknown marker
THBD,Unknown marker
L14,Unknown marker
SCN3B,Unknown marker
DLL4,Unknown marker
