Gene name,Function
LINC00636,Alveolar Mph MT-positive marker
NFIA-AS2,Alveolar Mph MT-positive marker
MT1G,Alveolar Mph MT-positive marker
FDCSP,Alveolar Mph MT-positive marker
APLN,Alveolar Mph MT-positive marker
KCNN2,Alveolar Mph MT-positive marker
DLL3,Alveolar Mph MT-positive marker
AVPR1A,Alveolar Mph MT-positive marker
RP11-557H15.4,Alveolar Mph MT-positive marker
SCT,Alveolar Mph MT-positive marker
MT1E,Alveolar Mph MT-positive marker
BRINP3,Alveolar Mph MT-positive marker
TFF2,Alveolar Mph MT-positive marker
KLK14,Alveolar Mph MT-positive marker
KRT1,Alveolar Mph MT-positive marker
RP11-817J15.2,Alveolar Mph MT-positive marker
ADRA2C,Alveolar Mph MT-positive marker
OTC,Alveolar Mph MT-positive marker
HSPB3,Alveolar Mph MT-positive marker
CCL11,Alveolar Mph proliferating marker
CDH19,Alveolar Mph proliferating marker
PCLAF,Alveolar Mph proliferating marker
TYMS,Alveolar Mph proliferating marker
KLK14,Alveolar Mph proliferating marker
TFF2,Alveolar Mph proliferating marker
GPR25,Alveolar Mph proliferating marker
BRINP3,Alveolar Mph proliferating marker
PAEP,Alveolar Mph proliferating marker
JPH2,Alveolar Mph proliferating marker
NNAT,Alveolar Mph proliferating marker
LINC02106,Alveolar Mph proliferating marker
LRCOL1,Alveolar Mph proliferating marker
CASQ2,Alveolar Mph proliferating marker
AADACL2,Alveolar Mph proliferating marker
EGFLAM,Alveolar Mph proliferating marker
LRRN4,Alveolar Mph proliferating marker
SLC38A11,Alveolar Mph proliferating marker
KCNN2,Alveolar Mph proliferating marker
GPR182,Alveolar Mph proliferating marker
SYT10,Alveolar Mph proliferating marker
RP11-501J20.5,Alveolar Mph proliferating marker
HPD,Alveolar Mph proliferating marker
ADRA2C,Alveolar Mph proliferating marker
RP11-817J15.2,Alveolar Mph proliferating marker
NFIA-AS2,Alveolar Mph proliferating marker
UBE2C,Alveolar Mph proliferating marker
TYRP1,Alveolar Mph proliferating marker
LHX6,Alveolar Mph proliferating marker
CD207,Alveolar Mph proliferating marker
RGCC,Alveolar fibroblasts marker
A2M,Alveolar fibroblasts marker
SIGLEC6,Alveolar fibroblasts marker
TFF2,Alveolar fibroblasts marker
RP11-501J20.5,Alveolar fibroblasts marker
GNAO1,Alveolar fibroblasts marker
GPX3,Alveolar fibroblasts marker
KLK14,Alveolar fibroblasts marker
TRGV2,Alveolar fibroblasts marker
SMR3A,Alveolar fibroblasts marker
OTC,Alveolar fibroblasts marker
CD207,Alveolar fibroblasts marker
KRT1,Alveolar fibroblasts marker
AADACL2,Alveolar fibroblasts marker
CLEC9A,Alveolar fibroblasts marker
GCOM1,Alveolar fibroblasts marker
SEZ6L,Alveolar fibroblasts marker
HSPB3,Alveolar fibroblasts marker
RAB3C,Alveolar fibroblasts marker
GPR25,Alveolar fibroblasts marker
SNORC,Alveolar fibroblasts marker
TRH,Alveolar fibroblasts marker
SOX10,Alveolar fibroblasts marker
CALHM3,Alveolar fibroblasts marker
SPIC,Alveolar fibroblasts marker
CDH19,Alveolar fibroblasts marker
LINC01781,Alveolar fibroblasts marker
IDO2,Alveolar fibroblasts marker
PAEP,Alveolar fibroblasts marker
CCL2,Alveolar fibroblasts marker
FTH1,Alveolar macrophages marker
FTL,Alveolar macrophages marker
C1QB,Alveolar macrophages marker
FABP4,Alveolar macrophages marker
S100A11,Alveolar macrophages marker
HLA-DRA,Alveolar macrophages marker
C1QA,Alveolar macrophages marker
ALOX5AP,Alveolar macrophages marker
S100A10,Alveolar macrophages marker
NKG7,Alveolar macrophages marker
SCGB3A2,Alveolar macrophages marker
CD74,Alveolar macrophages marker
MT-ND2,Alveolar macrophages marker
CTSD,Alveolar macrophages marker
LYZ,Alveolar macrophages marker
DCN,Alveolar macrophages marker
KCNQ1OT1,Alveolar macrophages marker
RPL26,Alveolar macrophages marker
RND3,Alveolar macrophages marker
APOC1,Alveolar macrophages marker
TYROBP,Alveolar macrophages marker
HLA-DRB5,Alveolar macrophages marker
HLA-DPA1,Alveolar macrophages marker
HLA-DPB1,Alveolar macrophages marker
XIST,Alveolar macrophages marker
CRIP1,Alveolar macrophages marker
MRC1,Alveolar macrophages marker
KRT1,Alveolar macrophages marker
FCN3,Alveolar macrophages marker
ANXA1,Alveolar macrophages marker
HLA-DRA,B cells marker
MS4A1,B cells marker
CD74,B cells marker
TRGV2,B cells marker
ROCR,B cells marker
CDK15,B cells marker
CCL11,B cells marker
CDH19,B cells marker
GPR182,B cells marker
CD79A,B cells marker
GPR25,B cells marker
GCOM1,B cells marker
KCNN2,B cells marker
AADACL2,B cells marker
LINC00636,B cells marker
VEGFD,B cells marker
PAEP,B cells marker
B4GALNT1,B cells marker
BRINP3,B cells marker
COMP,B cells marker
TPSG1,B cells marker
TFF2,B cells marker
MYBPC1,B cells marker
SIGLEC6,B cells marker
CD83,B cells marker
ITPRID1,B cells marker
RP11-322E11.5,B cells marker
AVPR1A,B cells marker
DIO2,B cells marker
IGKC,B cells marker
KRT15,Basal resting marker
KRT17,Basal resting marker
RPLP1,Basal resting marker
CLU,Basal resting marker
BCAM,Basal resting marker
CYB5A,Basal resting marker
CDH19,Basal resting marker
RPS4Y1,Basal resting marker
RPL41,Basal resting marker
ALDH3A1,Basal resting marker
ADH1C,Basal resting marker
BST2,Basal resting marker
IFITM1,Basal resting marker
KRT1,Basal resting marker
MPIG6B,Basal resting marker
OTC,Basal resting marker
CLEC4O,Basal resting marker
AVPR1A,Basal resting marker
RPL3,Basal resting marker
ZFP36L2,Basal resting marker
MSMB,Basal resting marker
GREM2,Basal resting marker
CTD-2547H18.1,Basal resting marker
CXCL10,Basal resting marker
FOXS1,Basal resting marker
TEX41,Basal resting marker
CIRBP,Basal resting marker
CASQ2,Basal resting marker
IGFBP2,Basal resting marker
GATA5,Basal resting marker
SFTPC,CD4 T cells marker
LCN2,CD4 T cells marker
IL7R,CD4 T cells marker
LTB,CD4 T cells marker
OTC,CD4 T cells marker
MALAT1,CD4 T cells marker
CXCR4,CD4 T cells marker
VIM,CD4 T cells marker
KCNN2,CD4 T cells marker
AVPR1A,CD4 T cells marker
COMP,CD4 T cells marker
TSHZ2,CD4 T cells marker
XIST,CD4 T cells marker
BTG1,CD4 T cells marker
MYOCD,CD4 T cells marker
CDK15,CD4 T cells marker
APLN,CD4 T cells marker
ADRA2C,CD4 T cells marker
B2M,CD4 T cells marker
BRINP3,CD4 T cells marker
CCL11,CD4 T cells marker
RP11-84E17.1,CD4 T cells marker
GPR182,CD4 T cells marker
TEX41,CD4 T cells marker
SLC38A11,CD4 T cells marker
IQGAP3,CD4 T cells marker
ZFP36L2,CD4 T cells marker
KLK14,CD4 T cells marker
TPSG1,CD4 T cells marker
SH2D6,CD4 T cells marker
CCL5,CD8 T cells marker
MALAT1,CD8 T cells marker
NKG7,CD8 T cells marker
TNFSF11,CD8 T cells marker
SCGB1A1,CD8 T cells marker
S100A8,CD8 T cells marker
HLA-DRA,CD8 T cells marker
CD3D,CD8 T cells marker
FABP4,CD8 T cells marker
TMSB4X,CD8 T cells marker
CES1,CD8 T cells marker
CD52,CD8 T cells marker
C1QB,CD8 T cells marker
MT1X,CD8 T cells marker
CCL4,CD8 T cells marker
MSMB,CD8 T cells marker
RPS27,CD8 T cells marker
LINC01705,CD8 T cells marker
GPX3,CD8 T cells marker
B2M,CD8 T cells marker
FABP5,CD8 T cells marker
MT1E,CD8 T cells marker
TRGC2,CD8 T cells marker
CCL11,CD8 T cells marker
SPIC,CD8 T cells marker
RPS19,CD8 T cells marker
MYBPC1,CD8 T cells marker
TPSG1,CD8 T cells marker
NFIA-AS2,CD8 T cells marker
IL32,CD8 T cells marker
S100A8,Classical monocytes marker
S100A9,Classical monocytes marker
LYZ,Classical monocytes marker
TYROBP,Classical monocytes marker
SCGB1A1,Classical monocytes marker
SCGB3A1,Classical monocytes marker
GNLY,Classical monocytes marker
SAT1,Classical monocytes marker
FTL,Classical monocytes marker
S100A12,Classical monocytes marker
NEAT1,Classical monocytes marker
TPSB2,Classical monocytes marker
THBS1,Classical monocytes marker
CCL21,Classical monocytes marker
SFTPC,Classical monocytes marker
S100A4,Classical monocytes marker
SMPX,Classical monocytes marker
SH3BGRL3,Classical monocytes marker
MT-CO3,Classical monocytes marker
CDH19,Classical monocytes marker
HLA-B,Classical monocytes marker
TYRP1,Classical monocytes marker
APLNR,Classical monocytes marker
NKG7,Classical monocytes marker
FOXS1,Classical monocytes marker
IGHG3,Classical monocytes marker
DAB1,Classical monocytes marker
RP11-817J15.2,Classical monocytes marker
CEBPB,Classical monocytes marker
RPS2,Classical monocytes marker
WFDC2,Club (nasal) marker
PSCA,Club (nasal) marker
S100A4,Club (nasal) marker
FABP5,Club (nasal) marker
SAT1,Club (nasal) marker
CSF3,Club (nasal) marker
IFI27,Club (nasal) marker
SERPINB3,Club (nasal) marker
S100A6,Club (nasal) marker
ALDH3A1,Club (nasal) marker
GPNMB,Club (nasal) marker
ID1,Club (nasal) marker
IGFBP7,Club (nasal) marker
CSRP2,Club (nasal) marker
FIBCD1,Club (nasal) marker
TPSG1,Club (nasal) marker
S100A9,Club (nasal) marker
AVPR1A,Club (nasal) marker
JUN,Club (nasal) marker
SOCS2,Club (nasal) marker
MT-CO3,Club (nasal) marker
CDH19,Club (nasal) marker
KCNN2,Club (nasal) marker
GATA5,Club (nasal) marker
CD1B,Club (nasal) marker
C4B,Club (nasal) marker
B4GALNT1,Club (nasal) marker
KRT1,Club (nasal) marker
C6,Club (nasal) marker
CCL11,Club (nasal) marker
SCGB3A1,Club (non-nasal) marker
SCGB1A1,Club (non-nasal) marker
SLPI,Club (non-nasal) marker
WFDC2,Club (non-nasal) marker
TFF3,Club (non-nasal) marker
S100P,Club (non-nasal) marker
LCN2,Club (non-nasal) marker
TYRP1,Club (non-nasal) marker
TGM2,Club (non-nasal) marker
LINC01705,Club (non-nasal) marker
OTC,Club (non-nasal) marker
CYP2F1,Club (non-nasal) marker
RELN,Club (non-nasal) marker
CXCL8,Club (non-nasal) marker
GPR25,Club (non-nasal) marker
IFNG-AS1,Club (non-nasal) marker
MT2A,Club (non-nasal) marker
EPGN,Club (non-nasal) marker
CRLF2,Club (non-nasal) marker
FOXS1,Club (non-nasal) marker
AVPR1A,Club (non-nasal) marker
MT1F,Club (non-nasal) marker
LINC00520,Club (non-nasal) marker
RP11-501J20.5,Club (non-nasal) marker
EEF1A1,Club (non-nasal) marker
TRGV2,Club (non-nasal) marker
APLN,Club (non-nasal) marker
CDK15,Club (non-nasal) marker
CLEC4O,Club (non-nasal) marker
SLC34A2,Club (non-nasal) marker
CLEC9A,DC1 marker
KCNN2,DC1 marker
BRINP3,DC1 marker
GPR25,DC1 marker
APLN,DC1 marker
AADACL2,DC1 marker
GPR182,DC1 marker
SPIC,DC1 marker
HOXD9,DC1 marker
OTC,DC1 marker
AVPR1A,DC1 marker
MYBPC1,DC1 marker
AMHR2,DC1 marker
RP11-826N14.8,DC1 marker
DAB1,DC1 marker
KRT1,DC1 marker
IDO2,DC1 marker
EBF2,DC1 marker
LINC00636,DC1 marker
TNFSF11,DC1 marker
SSUH2,DC1 marker
MYOC,DC1 marker
ZNF366,DC1 marker
RUNDC3B,DC1 marker
TCL1A,DC1 marker
RELN,DC1 marker
PAEP,DC1 marker
MSI1,DC1 marker
LINC01393,DC1 marker
FDCSP,DC1 marker
HLA-DPB1,DC2 marker
HLA-DRA,DC2 marker
HLA-DPA1,DC2 marker
HLA-DQA1,DC2 marker
HLA-DRB1,DC2 marker
LYZ,DC2 marker
CD74,DC2 marker
TYROBP,DC2 marker
CST3,DC2 marker
HLA-DQB1,DC2 marker
GPX1,DC2 marker
OTC,DC2 marker
HSPB3,DC2 marker
CCL11,DC2 marker
CASQ2,DC2 marker
CLEC4O,DC2 marker
LRCOL1,DC2 marker
BTG1,DC2 marker
AADACL2,DC2 marker
LINC00551,DC2 marker
C4B,DC2 marker
CDH19,DC2 marker
RP11-322E11.5,DC2 marker
AVPR1A,DC2 marker
MYOC,DC2 marker
SLCO1A2,DC2 marker
SFRP4,DC2 marker
ANKRD1,DC2 marker
RP11-817J15.2,DC2 marker
MPIG6B,DC2 marker
CDC20B,Deuterosomal marker
CCNO,Deuterosomal marker
CCL11,Deuterosomal marker
TYRP1,Deuterosomal marker
TRGV2,Deuterosomal marker
KCNN2,Deuterosomal marker
MYOC,Deuterosomal marker
GPR25,Deuterosomal marker
SPIC,Deuterosomal marker
OTC,Deuterosomal marker
FIBCD1,Deuterosomal marker
RP11-817J15.2,Deuterosomal marker
APLN,Deuterosomal marker
AVPR1A,Deuterosomal marker
LINC01638,Deuterosomal marker
GPR182,Deuterosomal marker
TPSG1,Deuterosomal marker
CLEC9A,Deuterosomal marker
BMP6,Deuterosomal marker
GATA5,Deuterosomal marker
CTAG2,Deuterosomal marker
MSI1,Deuterosomal marker
JPH2,Deuterosomal marker
GNAO1,Deuterosomal marker
COMP,Deuterosomal marker
HOXD9,Deuterosomal marker
KLK14,Deuterosomal marker
BRINP3,Deuterosomal marker
NTRK1,Deuterosomal marker
SCT,Deuterosomal marker
EDNRB,EC aerocyte capillary marker
EMCN,EC aerocyte capillary marker
HPGD,EC aerocyte capillary marker
IL1RL1,EC aerocyte capillary marker
CCL11,EC aerocyte capillary marker
CD207,EC aerocyte capillary marker
AQP1,EC aerocyte capillary marker
TYRP1,EC aerocyte capillary marker
CDH19,EC aerocyte capillary marker
HSPB3,EC aerocyte capillary marker
MYBPC1,EC aerocyte capillary marker
NUGGC,EC aerocyte capillary marker
AVPR1A,EC aerocyte capillary marker
LINC01705,EC aerocyte capillary marker
TFF2,EC aerocyte capillary marker
NFIA-AS2,EC aerocyte capillary marker
NTRK1,EC aerocyte capillary marker
TRH,EC aerocyte capillary marker
SEZ6L,EC aerocyte capillary marker
TRGV2,EC aerocyte capillary marker
LINC01638,EC aerocyte capillary marker
KRT1,EC aerocyte capillary marker
CTSG,EC aerocyte capillary marker
STXBP5L,EC aerocyte capillary marker
EGFLAM,EC aerocyte capillary marker
RSPO1,EC aerocyte capillary marker
TEX41,EC aerocyte capillary marker
LGALS12,EC aerocyte capillary marker
ADRA2C,EC aerocyte capillary marker
SMTNL2,EC aerocyte capillary marker
IGFBP3,EC arterial marker
MGP,EC arterial marker
HSPB1,EC arterial marker
TMSB10,EC arterial marker
CD207,EC arterial marker
HSPB3,EC arterial marker
CDK15,EC arterial marker
SIGLEC6,EC arterial marker
SH2D6,EC arterial marker
HSPA1A,EC arterial marker
PLXNC1,EC arterial marker
CXCL12,EC arterial marker
VIM,EC arterial marker
